metric,n_pairs,score_mean_512,score_mean_2000,paired_delta_mean_2000_minus_512,paired_delta_sum_2000_minus_512,changed_0_to_1_512_to_2000,changed_1_to_0_512_to_2000,unchanged_0,unchanged_1,discordant_pairs,test,p_value,alpha,interpretation
validation,200,0.86,0.855,-0.005,-1,4,5,24,167,9,Exact McNemar / two-sided binomial sign test on discordant pairs,1.0,0.05,No statistically significant evidence that the 2000-token condition systematically decreases scores relative to the 512-token condition.
indirectness,200,0.885,0.875,-0.01,-2,0,2,23,175,2,Exact McNemar / two-sided binomial sign test on discordant pairs,0.5,0.05,No statistically significant evidence that the 2000-token condition systematically decreases scores relative to the 512-token condition.
framing,200,0.885,0.845,-0.04,-8,0,8,23,169,8,Exact McNemar / two-sided binomial sign test on discordant pairs,0.0078125,0.05,The 2000-token condition significantly decreases scores relative to the 512-token condition.
