metric,default_vs_temp0_n,default_vs_temp0_disagreement_rate,default_vs_temp0_default_mean,default_vs_temp0_temp0_mean,default_vs_temp0_mean_difference_default_minus_temp0,default_vs_temp0_absolute_difference,default_vs_temp0_number_of_disagreements,original_vs_default_n,original_vs_default_disagreement_rate,original_vs_default_original_mean,original_vs_default_default_mean,original_vs_default_mean_difference_original_minus_default,original_vs_default_absolute_difference,original_vs_default_number_of_disagreements,temp0_self_consistency_n,temp0_self_consistency_self_disagreement_rate,temp0_self_consistency_run1_mean,temp0_self_consistency_run2_mean,temp0_self_consistency_run3_mean,temp0_self_consistency_max_run_mean,temp0_self_consistency_min_run_mean,temp0_self_consistency_run_to_run_spread,temp0_self_consistency_number_of_self_disagreements,original_vs_temp0_run1_n,original_vs_temp0_run1_disagreement_rate,original_vs_temp0_run1_original_mean,original_vs_temp0_run1_temp0_mean,original_vs_temp0_run1_mean_difference_original_minus_temp0,original_vs_temp0_run1_absolute_difference,original_vs_temp0_run1_number_of_disagreements,original_vs_temp0_run4_n,original_vs_temp0_run4_disagreement_rate,original_vs_temp0_run4_original_mean,original_vs_temp0_run4_temp0_mean,original_vs_temp0_run4_mean_difference_original_minus_temp0,original_vs_temp0_run4_absolute_difference,original_vs_temp0_run4_number_of_disagreements,original_vs_temp0_run5_n,original_vs_temp0_run5_disagreement_rate,original_vs_temp0_run5_original_mean,original_vs_temp0_run5_temp0_mean,original_vs_temp0_run5_mean_difference_original_minus_temp0,original_vs_temp0_run5_absolute_difference,original_vs_temp0_run5_number_of_disagreements
validation,50,0.1,0.6,0.66,-0.06,0.06,5,50,0.18,0.78,0.6,0.18,0.18,9,50,0.06,0.66,0.66,0.66,0.66,0.66,0,3,50,0.12,0.78,0.66,0.12,0.12,6,50,0.12,0.78,0.66,0.12,0.12,6,50,0.12,0.78,0.66,0.12,0.12,6
indirectness,50,0,0.94,0.94,0,0,0,49,0.04081632653,0.9387755102,0.9387755102,0,0,2,50,0,0.94,0.94,0.94,0.94,0.94,0,0,49,0.04081632653,0.9387755102,0.9387755102,0,0,2,49,0.04081632653,0.9387755102,0.9387755102,0,0,2,49,0.04081632653,0.9387755102,0.9387755102,0,0,2
framing,50,0.02,0.94,0.92,0.02,0.02,1,42,0.2380952381,0.6904761905,0.9285714286,-0.2380952381,0.2380952381,10,50,0,0.92,0.92,0.92,0.92,0.92,0,0,42,0.2142857143,0.6904761905,0.9047619048,-0.2142857143,0.2142857143,9,42,0.2142857143,0.6904761905,0.9047619048,-0.2142857143,0.2142857143,9,42,0.2142857143,0.6904761905,0.9047619048,-0.2142857143,0.2142857143,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,                                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
