metric,n_pairs,original_mean,score_mean_512,score_mean_2000,agreement_with_original_512,agreement_with_original_2000,mismatches_vs_original_512,mismatches_vs_original_2000,mean_abs_difference_vs_original_512,mean_abs_difference_vs_original_2000,only_512_matches_original,only_2000_matches_original,discordant_similarity_pairs,similarity_difference_p_value,test,most_similar_to_original
validation,189,0.7513227513227513,0.8518518518518519,0.8465608465608465,0.8253968253968254,0.8201058201058201,33,34,0.1746031746031746,0.17989417989417988,5,4,9,1.0,Exact paired binomial test on rows where only one token limit matches original GPT-4o,512
indirectness,189,0.6084656084656085,0.8835978835978836,0.873015873015873,0.7037037037037037,0.7037037037037037,56,56,0.2962962962962963,0.2962962962962963,1,1,2,1.0,Exact paired binomial test on rows where only one token limit matches original GPT-4o,tie
framing,186,0.7956989247311828,0.8763440860215054,0.8387096774193549,0.8440860215053764,0.8172043010752689,29,34,0.15591397849462366,0.1827956989247312,6,1,7,0.125,Exact paired binomial test on rows where only one token limit matches original GPT-4o,512
overall_all_three_metrics,564,0.7180851063829787,0.8705673758865248,0.8528368794326241,0.7907801418439716,0.7801418439716312,118,124,0.20921985815602837,0.2198581560283688,12,6,18,0.237884521484375,Exact paired binomial test on rows where only one token limit matches original GPT-4o,512
