source_file,model,observations,total_metric_cells,blank_count,blank_rate,avg_response_char_length,avg_response_word_length,avg_blank_metric_count,pearson_chars_vs_blank_count,spearman_chars_vs_blank_count,pearson_words_vs_blank_count,spearman_words_vs_blank_count
ALL,ALL,138464,433392,6840,0.015782478679809503,1660.062081118558,267.8451510862029,0.04939912179339034,0.08575333015694005,0.10642824584960389,0.08453459352975518,0.10737022441757091
ALL,Claude,11986,35958,385,0.010706935869625674,968.2718171199733,151.2301017854163,0.032120807608877026,0.08116146878450163,0.08187323828312977,0.08513963910625047,0.08517667219266348
ALL,DeepSeek,11986,35958,0,0.0,1626.7837477056567,258.8368096112131,0.0,0.0,0.0,0.0,0.0
ALL,GPT-4o,11986,35958,927,0.025780076756215586,1903.6009511096279,301.970715835141,0.07734023026864675,-0.026393901588961464,-0.001251389679034073,-0.03104867008301049,-0.006048927270018582
ALL,GPT-5,11986,35958,0,0.0,2273.064408476556,380.00283664274986,0.0,0.0,0.0,0.0,0.0
ALL,Gemini,11986,35958,595,0.016547082707603314,1725.669113966294,265.265726681128,0.04964124812280994,0.23574261793803153,0.22314805353625514,0.23626567986510333,0.22443748209629655
ALL,Human,6618,19854,188,0.009469124609650449,368.9572378362043,68.1087941976428,0.028407373828951345,-0.08388185598133462,-0.1891930948718125,-0.08570732374685226,-0.1902773006648416
ALL,Llama-17B,11986,35958,999,0.027782412814950776,1763.0939429334223,285.96512598031035,0.08334723844485233,0.02669498533497619,-0.00041603412754748914,0.03461982315206065,0.0052994761706774895
ALL,Llama-70B,11986,35958,1198,0.03331664719951054,1757.4636242282663,286.00258635074255,0.09994994159853161,0.2400027772384263,0.26460639053408863,0.2400259443388356,0.26768043180089973
ALL,Llama-8B,11986,35958,1667,0.04635964180432727,1801.4586183881195,294.7277657266811,0.1390789254129818,0.17631678004692303,0.1814241490383336,0.18106619550704875,0.19252763922151928
ALL,Mistral-24B,11986,35958,327,0.009093942933422326,1725.8831970632405,275.8860337059903,0.02728182880026698,0.11670383945812024,0.15244686226595333,0.12247134805745959,0.16203250214358397
ALL,Mistral-7B,11986,53958,553,0.010248711961154972,1382.4044718838645,226.03579175704988,0.04613716002002336,0.2189418955887052,0.22686598275754047,0.2154285118380631,0.22503196036996248
ALL,Qwen,11986,35958,1,2.7810223037988763e-05,2045.8650091773736,330.6564325045887,8.34306691139663e-05,0.006568165158325281,0.0076400469585767095,0.00841700834606075,0.011988212853478142
AITA-NTA-FLIP_flipped_full_results.csv,ALL,17501,52503,0,0.0,2137.617793268956,341.60773670076,0.0,0.0,0.0,0.0,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Claude,1591,4773,0,0.0,1102.3500942803269,171.2583280955374,0.0,0.0,0.0,0.0,0.0
AITA-NTA-FLIP_flipped_full_results.csv,DeepSeek,1591,4773,0,0.0,2628.7900691389063,417.42363293526085,0.0,0.0,0.0,0.0,0.0
AITA-NTA-FLIP_flipped_full_results.csv,GPT-4o,1591,4773,0,0.0,3319.890006285355,524.872407291012,0.0,0.0,0.0,0.0,0.0
AITA-NTA-FLIP_flipped_full_results.csv,GPT-5,1591,4773,0,0.0,2346.1596480201133,393.0326838466373,0.0,0.0,0.0,0.0,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Gemini,1591,4773,0,0.0,1969.578881206788,300.9899434318039,0.0,0.0,0.0,0.0,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Llama-17B,1591,4773,0,0.0,1880.3859208045255,304.7994971715902,0.0,0.0,0.0,0.0,0.0
